State,witnessed,non_witnessed
NSW,43.6,21.2
VIC,58.3,26.6
QLD,58.2,26.2
WA,37.1,19.0
SA,41.9,21.3
TAS,54.8,14.9
ACT,55.6,35.8
NT,70.0,14.9
