State,Type ,Rate
NSW,witnessed,7.5
VIC,witnessed,8.5
QLD,witnessed,10.4
WA,witnessed,5.9
SA,witnessed,5.2
TAS,witnessed,9.2
ACT,witnessed,9.3
NT,witnessed,5.6
NSW,non_witnessed,17.5
VIC,non_witnessed,22.7
QLD,non_witnessed,21.5
WA,non_witnessed,16.0
SA,non_witnessed,18.6
TAS,non_witnessed,12.4
ACT,non_witnessed,29.8
NT,non_witnessed,13.7
